artist,song,duration_ms,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Brandy,Full Moon,248933,2002,52,0.611,0.654,-4.823,0.139,0.372,0.00432,0.0926,0.609,105.922,"hip hop, pop, R&B"
Blue,One Love,207186,2002,60,0.683,0.722,-4.039,0.0358,0.0243,4.2e-05,0.35,0.854,95.012,pop
Céline Dion,A New Day Has Come - Radio Remix,259773,2001,59,0.574,0.691,-5.103,0.035,0.0826,1.65e-05,0.149,0.195,91.969,pop
Scooter,Nessaja,208449,2013,47,0.486,0.904,-6.642,0.0364,0.000748,0.0984,0.187,0.118,143.048,"pop, Dance/Electronic"
Kylie Minogue,Spinning Around,207866,2000,55,0.761,0.662,-7.645,0.0548,0.292,6.19e-05,0.0956,0.631,120.043,"pop, Dance/Electronic"
Gareth Gates,Anyone of Us (Stupid Mistake),227866,2003,53,0.7,0.72,-6.061,0.0261,0.285,0.0,0.0845,0.654,106.986,pop
Christina Aguilera,Dirrty (feat. Redman),298853,2002,68,0.64,0.889,-3.073,0.322,0.107,0.0,0.339,0.436,99.931,pop
B2K,Uh Huh,223293,2002,49,0.855,0.681,-4.955,0.0688,0.0881,3.7e-06,0.0592,0.908,99.699,"hip hop, pop, R&B"
Sugababes,Freak Like Me,195866,2002,45,0.517,0.919,-3.451,0.0925,0.0996,1.81e-06,0.557,0.387,91.868,"pop, R&B"
Dirty Vegas,Days Go By,432146,2002,48,0.786,0.853,-8.274,0.0688,0.0499,0.0872,0.35,0.309,126.99,Dance/Electronic
Liberty X,Just A Little,237359,2019,43,0.786,0.614,-6.554,0.0574,0.00616,0.0,0.049,0.742,103.887,pop
No Doubt,Hella Good,242586,2001,26,0.771,0.665,-3.954,0.035,0.0135,0.0123,0.0903,0.844,115.142,"rock, pop"
LL Cool J,Luv U Better,287000,2002,2,0.668,0.806,-3.9,0.239,0.232,0.0,0.18,0.721,95.022,"hip hop, pop, R&B"
Red Hot Chili Peppers,Can't Stop,269000,2002,80,0.618,0.938,-3.442,0.0456,0.0179,0.0,0.167,0.875,91.455,rock
Musiq Soulchild,Halfcrazy,254493,2002,58,0.412,0.77,-6.057,0.18,0.462,1.5e-06,0.0485,0.418,101.955,"pop, R&B"
Faith Evans,I Love You,267160,2001,53,0.489,0.757,-4.062,0.0926,0.00981,0.0,0.234,0.567,168.004,"hip hop, pop, R&B"
Kylie Minogue,Love at First Sight,238266,2001,55,0.603,0.774,-6.066,0.0428,0.0288,0.051,0.0533,0.48,124.994,"pop, Dance/Electronic"
Gareth Gates,Unchained Melody,233666,2003,35,0.368,0.426,-8.049,0.0277,0.255,5.39e-06,0.108,0.208,106.52,pop
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,2005,63,0.66,0.707,-5.758,0.208,0.397,0.0,0.211,0.761,89.279,"hip hop, pop"
Big Brovaz,Nu Flow,201480,2001,45,0.783,0.726,-8.718,0.106,0.0903,2.53e-06,0.363,0.784,148.062,pop
No Doubt,Hey Baby,207040,2001,24,0.705,0.872,-3.557,0.125,0.0602,0.0,0.228,0.746,93.63,"rock, pop"
Sophie Ellis-Bextor,Murder On The Dancefloor,230013,2002,62,0.734,0.848,-5.285,0.0309,0.00312,1.16e-05,0.313,0.863,117.31,"pop, Dance/Electronic"
Justin Timberlake,Like I Love You,283626,2002,62,0.853,0.811,-4.927,0.0646,0.0439,0.000307,0.0703,0.9,114.964,pop
Mary J. Blige,Rainy Dayz,276373,2001,32,0.412,0.667,-6.997,0.229,0.195,0.0,0.305,0.533,68.942,"pop, R&B"
A1,Caught in the Middle,206466,2001,53,0.519,0.874,-5.122,0.034,0.0524,0.0,0.243,0.572,96.072,pop
Delta Goodrem,Born to Try,251280,2003,54,0.542,0.589,-6.813,0.0284,0.246,0.0,0.188,0.336,133.838,pop
P!nk,Get the Party Started,192533,2001,68,0.802,0.903,-3.267,0.046,0.0011,0.0,0.173,0.96,128.93,pop
Alicia Keys,A Woman's Worth,303333,2001,52,0.652,0.41,-8.323,0.158,0.333,0.0,0.064,0.495,75.09,"pop, R&B"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,2002,56,0.838,0.764,-5.076,0.0586,0.0862,0.000122,0.0906,0.924,133.592,pop
Coldplay,Clocks,307879,2002,79,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97,"rock, pop"
Ronan Keating,If Tomorrow Never Comes,214306,2002,60,0.555,0.496,-6.136,0.028,0.333,0.0,0.0956,0.27,79.01,"pop, rock"
Creed,My Sacrifice,294600,2001,69,0.32,0.88,-6.035,0.0504,0.000101,4.31e-06,0.076,0.257,146.349,"pop, rock, metal"
Avril Lavigne,Sk8er Boi,204000,2002,75,0.487,0.9,-4.417,0.0482,6.79e-05,0.0,0.358,0.484,149.937,pop
DJ Sammy,Heaven,233600,2002,63,0.571,0.953,-5.601,0.0548,0.0011,0.000606,0.226,0.601,137.965,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,2001,58,0.534,0.543,-6.857,0.0245,0.579,0.0,0.112,0.418,78.996,pop
Red Hot Chili Peppers,By the Way,216933,2002,73,0.451,0.97,-4.938,0.107,0.0264,0.00355,0.102,0.198,122.444,rock
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211506,2002,60,0.597,0.97,-5.972,0.0502,0.000385,0.205,0.133,0.717,114.999,"rock, easy listening"
Atomic Kitten,The Tide Is High - Radio Mix,206093,2002,65,0.783,0.649,-4.127,0.0322,0.0209,0.00482,0.067,0.665,103.997,pop
*NSYNC,Girlfriend,253600,2001,50,0.745,0.807,-5.191,0.0884,0.0887,1.49e-05,0.0283,0.858,93.967,pop
Robbie Williams,Somethin' Stupid,170493,2001,64,0.654,0.515,-12.185,0.0261,0.429,5.62e-06,0.174,0.677,106.191,"pop, rock"
Alanis Morissette,Hands Clean,269400,2002,57,0.513,0.82,-5.428,0.0299,0.00192,2.83e-06,0.504,0.52,99.952,"pop, Folk/Acoustic"
Creed,One Last Breath - Radio Version,242000,2015,47,0.38,0.725,-6.094,0.0365,0.00571,0.00015,0.3,0.202,130.581,"pop, rock, metal"
The Goo Goo Dolls,Here Is Gone,238173,2002,56,0.338,0.685,-5.178,0.0322,0.00052,0.000512,0.109,0.221,102.192,"pop, rock"
Blazin' Squad,Crossroads - Radio Edit,188693,2012,40,0.661,0.746,-5.153,0.042,0.109,0.0,0.325,0.502,144.188,set()
Default,Wasting My Time,268693,2001,40,0.443,0.769,-5.529,0.0312,0.00138,0.0,0.0677,0.17,147.973,"rock, pop, metal"
Michelle Branch,All You Wanted,217680,2001,60,0.499,0.72,-9.101,0.0286,0.00466,0.00303,0.122,0.652,96.103,"pop, Folk/Acoustic"
Daniel Bedingfield,If You're Not The One,257026,2002,58,0.688,0.538,-7.608,0.0292,0.504,0.0,0.111,0.27,119.998,pop
Enrique Iglesias,Escape,208626,2001,56,0.776,0.844,-5.305,0.0297,0.0277,0.000244,0.135,0.868,125.972,"pop, latin"
Puddle Of Mudd,Blurry,303920,2001,64,0.432,0.936,-4.537,0.0562,0.00691,0.0,0.14,0.499,157.469,"rock, metal"
Coldplay,In My Place,226680,2002,72,0.424,0.588,-5.455,0.0278,0.0553,4.95e-06,0.298,0.193,144.636,"rock, pop"
P!nk,Don't Let Me Get Me - Radio Edit,210693,2001,60,0.624,0.85,-4.754,0.0756,0.00234,0.0,0.0621,0.615,98.525,pop
Sean Paul,Get Busy,211666,2002,74,0.735,0.824,-4.143,0.036,0.615,0.0,0.158,0.726,100.202,"hip hop, pop"
Beyoncé,Crazy In Love (feat. Jay-Z),236133,2003,76,0.646,0.77,-6.596,0.226,0.00249,0.0,0.0715,0.681,99.165,"pop, R&B"
Counting Crows,Big Yellow Taxi,225426,2003,50,0.669,0.873,-4.315,0.0494,0.00204,0.0,0.137,0.827,88.029,"rock, pop"
Black Eyed Peas,Where Is The Love?,272533,2003,68,0.835,0.687,-3.18,0.184,0.101,0.0,0.132,0.828,94.059,"hip hop, pop"
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,187840,2002,70,0.845,0.768,-5.448,0.188,0.00733,5.04e-06,0.0575,0.96,100.0,"hip hop, pop, R&B"
Black Eyed Peas,Shut Up,296186,2003,56,0.81,0.714,-3.966,0.243,0.0637,0.0,0.237,0.561,112.968,"hip hop, pop"
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,285570,2003,66,0.793,0.698,-3.626,0.104,0.163,0.145,0.0745,0.339,130.017,"pop, Dance/Electronic"
Panjabi MC,Mundian to Bach Ke,244666,2003,61,0.778,0.879,-4.951,0.0371,0.399,0.792,0.15,0.942,98.077,"World/Traditional, hip hop"
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,2004,59,0.734,0.668,-3.935,0.0349,0.0526,0.0,0.0925,0.651,99.971,"pop, Dance/Electronic"
Jamelia,Superstar,215480,2003,69,0.801,0.645,-6.93,0.0356,0.0457,0.0,0.0357,0.824,110.01,pop
Linkin Park,Faint,162600,2003,72,0.554,0.978,-3.554,0.131,0.111,0.0,0.0731,0.594,135.095,"rock, metal"
Evanescence,Bring Me To Life,235893,2003,79,0.331,0.943,-3.188,0.0698,0.00721,2.06e-06,0.242,0.296,94.612,metal
Sugababes,Hole In The Head,218173,2003,57,0.785,0.933,-4.629,0.0309,0.0303,0.0,0.137,0.962,125.011,"pop, R&B"
Craig David,Rise & Fall (feat. Sting),287226,2002,59,0.405,0.589,-7.51,0.0586,0.252,0.0,0.661,0.808,83.373,"hip hop, pop, R&B"
Three Days Grace,I Hate Everything About You,231480,2003,72,0.498,0.83,-5.157,0.0421,0.00461,0.0,0.139,0.453,89.342,"rock, metal"
Lil Jon & The East Side Boyz,Get Low,324600,2002,47,0.78,0.604,-8.019,0.0396,0.022,0.0,0.194,0.12,101.043,"hip hop, pop"
B2K,"Bump, Bump, Bump (feat. P. Diddy)",282773,2003,62,0.835,0.68,-6.02,0.21,0.1,0.0,0.049,0.889,95.508,"hip hop, pop, R&B"
Baby Bash,Suga Suga,239026,2003,73,0.662,0.748,-3.041,0.268,0.688,8.43e-06,0.0841,0.535,82.331,"hip hop, pop, R&B, latin"
Aaliyah,Miss You - Main,245240,2002,36,0.602,0.34,-9.867,0.0375,0.618,0.0,0.234,0.511,109.598,"hip hop, pop, R&B"
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,2003,59,0.804,0.836,-6.635,0.089,0.32,0.0,0.213,0.85,120.046,pop
Blue,Sorry Seems To Be The Hardest Word,210066,2004,57,0.564,0.6,-6.814,0.0305,0.183,2.19e-06,0.38,0.442,78.955,pop
Delta Goodrem,Lost Without You,248546,2003,54,0.581,0.747,-6.682,0.0283,0.0365,1.69e-06,0.193,0.514,146.301,pop
Justin Timberlake,Rock Your Body,267266,2002,76,0.892,0.714,-6.055,0.141,0.201,0.000234,0.0521,0.817,100.972,pop
The White Stripes,Seven Nation Army,231920,2003,3,0.741,0.469,-7.627,0.0805,0.00601,0.447,0.306,0.313,123.904,"rock, blues"
Beyoncé,Baby Boy (feat. Sean Paul),244826,2003,63,0.655,0.488,-9.17,0.22,0.0825,1.16e-06,0.221,0.791,91.025,"pop, R&B"
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,2002,61,0.859,0.658,-4.481,0.192,0.0326,0.00181,0.0651,0.538,98.989,pop
Nickelback,Someday,207466,2003,68,0.455,0.858,-5.659,0.0391,0.000616,0.000247,0.226,0.597,163.118,"rock, metal"
Blue,U Make Me Wanna - Radio Edit,222400,2003,48,0.6,0.736,-6.228,0.0329,0.325,0.0,0.137,0.848,158.108,pop
Ashanti,Rain On Me,297960,2003,50,0.606,0.699,-3.103,0.0337,0.343,1.89e-06,0.0757,0.509,83.701,"hip hop, pop, R&B"
Simply Red,Sunrise,199040,2008,58,0.791,0.733,-5.123,0.029,0.00189,0.201,0.0859,0.917,105.987,"rock, R&B, Folk/Acoustic, pop"
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",184906,2003,61,0.811,0.657,-6.197,0.362,0.0391,0.712,0.0798,0.777,199.958,"pop, R&B"
Girls Aloud,Sound Of The Underground,221426,2003,58,0.568,0.867,-5.861,0.0365,0.00344,4.67e-05,0.328,0.88,163.944,"pop, Dance/Electronic"
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,2016,52,0.527,0.808,-4.749,0.295,0.176,0.0,0.169,0.907,87.025,"hip hop, pop, R&B"
Room 5,Make Luv,212413,2003,57,0.883,0.887,-4.92,0.116,0.0111,0.63,0.0367,0.648,124.814,Dance/Electronic
Limp Bizkit,Behind Blue Eyes,269973,2003,70,0.595,0.489,-6.66,0.0271,0.497,0.0,0.119,0.0902,120.315,metal
Sugababes,Too Lost In You,237693,2003,58,0.586,0.705,-4.904,0.0287,0.0485,0.0,0.15,0.459,98.014,"pop, R&B"
Mýa,My Love Is Like...Wo - Main Mix,209533,2003,48,0.831,0.695,-6.491,0.109,0.194,1.24e-05,0.309,0.722,132.817,"pop, R&B"
Girls Aloud,Jump,220360,2003,60,0.658,0.826,-6.031,0.0346,0.00189,0.00275,0.0492,0.795,134.465,"pop, Dance/Electronic"
Ultrabeat,Pretty Green Eyes - Radio Edit,201920,2003,59,0.553,0.775,-10.284,0.043,0.212,0.0,0.0728,0.51,139.993,"pop, Dance/Electronic"
Christina Aguilera,Fighter,245960,2002,67,0.435,0.92,-1.357,0.201,0.235,0.000353,0.552,0.45,188.899,pop
Frankie J,Don't Wanna Try,245293,2003,49,0.655,0.433,-7.577,0.0348,0.444,0.0,0.221,0.199,130.127,"hip hop, pop, R&B"
Floetry,Say Yes,268373,2002,57,0.747,0.398,-12.932,0.0743,0.211,1.42e-06,0.113,0.428,117.901,"hip hop, pop, R&B"
Electric Six,Danger! High Voltage - Soulchild Radio Mix,214600,2003,0,0.66,0.698,-4.722,0.0302,1.92e-05,0.166,0.0517,0.511,123.005,rock
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,208386,2003,38,0.85,0.862,-3.587,0.138,0.0733,0.00144,0.0936,0.908,130.036,"pop, Dance/Electronic"
Nas,I Can,253720,2002,58,0.837,0.885,-3.914,0.182,0.103,0.0,0.0666,0.694,95.313,hip hop
3 Doors Down,When I'm Gone,260333,2002,67,0.53,0.768,-5.611,0.0284,0.00385,0.0,0.103,0.374,148.095,"pop, rock, metal"
Tyrese,How You Gonna Act Like That,294693,2002,60,0.733,0.521,-3.657,0.0457,0.107,0.0,0.0692,0.525,112.913,"hip hop, pop, R&B"
Justin Timberlake,Cry Me a River,288333,2002,73,0.624,0.654,-6.582,0.183,0.577,0.0,0.104,0.564,73.898,pop
Westlife,Mandy,199320,2003,57,0.447,0.636,-5.08,0.0278,0.254,9.25e-05,0.11,0.376,105.678,pop
No Doubt,It's My Life,226053,2003,60,0.612,0.735,-5.074,0.0282,0.00202,0.00118,0.328,0.783,126.326,"rock, pop"
Amanda Perez,Angel,218760,2003,48,0.638,0.54,-6.849,0.0473,0.506,0.0,0.157,0.352,143.772,"pop, R&B"
Coldplay,Clocks,307879,2002,79,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97,"rock, pop"
Kelly Rowland,Stole,249293,2002,54,0.649,0.718,-4.984,0.0594,0.00676,4.26e-06,0.174,0.477,79.993,"hip hop, pop, R&B"
Ashanti,Rock Wit U (Awww Baby),209120,2003,65,0.71,0.797,-3.006,0.0582,0.408,0.0,0.16,0.849,94.998,"hip hop, pop, R&B"
Junior Senior,Move Your Feet,181826,2002,67,0.747,0.904,-2.623,0.0803,0.046,0.106,0.203,0.846,118.877,pop
Audioslave,Like a Stone,293960,2002,75,0.614,0.568,-5.477,0.0276,0.00797,0.0,0.0997,0.516,107.849,"rock, metal"
Sean Paul,Like Glue,232506,2002,61,0.757,0.78,-5.038,0.319,0.0811,0.0,0.113,0.59,97.917,"hip hop, pop"
Jennifer Lopez,All I Have (feat. LL Cool J),254466,2002,60,0.701,0.669,-5.265,0.107,0.271,0.0,0.158,0.446,83.066,"hip hop, pop, R&B"
Monica,So Gone,242773,2003,64,0.618,0.552,-6.863,0.0981,0.176,0.0,0.252,0.586,81.975,"pop, R&B"
Dido,White Flag,240040,2003,44,0.512,0.525,-6.823,0.0401,0.327,3.3e-06,0.081,0.294,169.951,pop
Kelly Clarkson,Miss Independent,214773,2003,47,0.656,0.615,-6.359,0.137,0.0769,0.000415,0.0706,0.592,175.943,"pop, R&B"
Matchbox Twenty,Unwell,228706,2002,63,0.256,0.788,-5.263,0.0403,0.0298,0.0,0.707,0.429,80.718,"pop, rock"
Switchfoot,Meant to Live,201373,2003,61,0.397,0.903,-4.577,0.0457,0.00575,1.6e-06,0.362,0.556,151.551,"rock, pop"
Daniel Bedingfield,If You're Not The One,257026,2002,58,0.688,0.538,-7.608,0.0292,0.504,0.0,0.111,0.27,119.998,pop
Good Charlotte,Lifestyles of the Rich & Famous,190173,2002,68,0.62,0.93,-3.685,0.0374,0.00043,0.0,0.0686,0.609,106.22,"rock, metal"
Wayne Wonder,No Letting Go,202013,2003,63,0.496,0.819,-5.656,0.0444,0.0479,0.000215,0.177,0.317,100.215,"hip hop, R&B"
The Strokes,Reptilia,219826,2003,74,0.489,0.649,-5.11,0.0336,0.000603,0.713,0.101,0.77,158.009,rock
Avril Lavigne,I'm with You,223066,2002,70,0.457,0.406,-7.462,0.0291,0.08,0.0,0.117,0.208,151.95,pop
Will Young,Leave Right Now,214733,2003,55,0.641,0.445,-8.674,0.0368,0.145,0.0,0.108,0.383,81.931,pop
Usher,Yeah! (feat. Lil Jon & Ludacris),250373,2004,81,0.894,0.791,-4.699,0.112,0.0183,0.0,0.0388,0.583,105.018,"hip hop, pop, R&B"
Maroon 5,This Love,206200,2002,77,0.712,0.862,-4.612,0.0378,0.0525,0.0,0.093,0.809,95.051,pop
Britney Spears,Toxic,198800,2003,81,0.774,0.838,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,pop
Outkast,Hey Ya!,235213,2003,80,0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,"hip hop, pop"
Hoobastank,The Reason,232800,2003,79,0.472,0.671,-4.649,0.029,0.0129,0.0,0.159,0.0681,82.952,"pop, rock, metal"
Anastacia,Left Outside Alone,257426,2004,65,0.663,0.746,-3.567,0.0321,0.0697,0.0,0.0929,0.325,102.847,pop
Daddy Yankee,Gasolina,192600,2004,11,0.857,0.801,-6.499,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,latin
Black Eyed Peas,Let's Get It Started - Spike Mix,217733,2004,53,0.785,0.799,-2.208,0.126,0.117,0.0,0.292,0.797,104.923,"hip hop, pop"
O-Zone,Dragostea Din Tei,215431,2004,56,0.809,0.965,-3.947,0.0427,0.177,0.0,0.0577,0.672,130.103,pop
Anastacia,Sick and Tired,212266,1999,56,0.598,0.868,-4.552,0.0373,0.00908,0.0,0.279,0.47,99.848,pop
Gwen Stefani,What You Waiting For?,221226,2004,60,0.676,0.948,-2.557,0.0628,0.0509,8.19e-06,0.384,0.731,136.027,"pop, R&B"
Ashanti,Only U - No Intro,186306,2004,56,0.601,0.621,-5.576,0.0434,0.0374,1.75e-06,0.188,0.278,94.547,"hip hop, pop, R&B"
The Rasmus,In the Shadows,257920,2003,68,0.6,0.796,-4.481,0.0275,0.000109,5.2e-05,0.484,0.75,105.991,metal
Houston,I Like That,236520,2004,59,0.797,0.502,-3.925,0.0968,0.0154,0.0,0.1,0.385,106.997,"hip hop, pop"
Beyoncé,Naughty Girl,208600,2003,63,0.735,0.466,-8.65,0.0857,0.239,6.24e-06,0.102,0.643,99.973,"pop, R&B"
Linkin Park,Numb,185586,2003,81,0.496,0.863,-4.153,0.0381,0.0046,0.0,0.639,0.243,110.018,"rock, metal"
Jay Sean,Eyes On You - Radio Mix,190493,2004,42,0.802,0.672,-4.971,0.0847,0.0775,0.0,0.136,0.619,96.525,"hip hop, pop, R&B"
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,2016,66,0.833,0.515,-5.0,0.0462,0.347,0.00156,0.116,0.4,97.007,pop
Destiny's Child,Lose My Breath,242013,2004,61,0.814,0.899,-5.958,0.0637,0.00727,0.219,0.0979,0.545,119.011,"pop, R&B"
Eric Prydz,Call on Me - Radio Mix,171360,2004,72,0.597,0.837,-6.518,0.375,0.00427,0.00115,0.839,0.447,126.342,"pop, Dance/Electronic"
Ciara,Goodies (feat. Petey Pablo),223000,2004,67,0.826,0.647,-6.306,0.0491,0.0277,1.52e-06,0.298,0.872,102.017,"pop, R&B"
LL Cool J,Headsprung,267320,2004,56,0.718,0.786,-5.76,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,"hip hop, pop, R&B"
Spiderbait,Black Betty - Edit,205973,2004,63,0.562,0.865,-6.476,0.0922,2.06e-05,0.591,0.219,0.35,124.047,rock
George Michael,Amazing,265826,2004,57,0.805,0.754,-6.825,0.0394,0.0884,1.77e-06,0.117,0.88,128.429,set()
Britney Spears,My Prerogative,213893,2004,53,0.749,0.938,-4.423,0.118,0.0127,1.96e-06,0.103,0.619,111.014,pop
Nina Sky,Move Ya Body,232000,2004,67,0.87,0.712,-6.313,0.0432,0.0202,0.000331,0.0576,0.877,121.057,"pop, R&B"
Baby Bash,Suga Suga,239026,2003,73,0.662,0.748,-3.041,0.268,0.688,8.43e-06,0.0841,0.535,82.331,"hip hop, pop, R&B, latin"
Juanes,La Camisa Negra,216706,2004,70,0.751,0.731,-4.419,0.0308,0.0838,0.0,0.0556,0.973,97.007,"pop, latin"
Avril Lavigne,Nobody's Home,212413,2004,61,0.348,0.907,-3.66,0.0497,0.000516,0.0,0.161,0.177,185.406,pop
Robbie Williams,Radio,233600,2004,33,0.607,0.874,-5.409,0.0349,0.00331,0.0494,0.26,0.846,130.015,"pop, rock"
Enrique Iglesias,Not In Love - Radio Mix,223133,2003,37,0.762,0.885,-5.096,0.0395,0.0371,0.0,0.0519,0.886,117.021,"pop, latin"
Kelis,Milkshake,182626,2003,68,0.881,0.774,-6.068,0.0439,0.00986,0.0346,0.206,0.759,112.968,"pop, R&B, Dance/Electronic"
Linkin Park,Breaking the Habit,196906,2003,68,0.579,0.849,-5.218,0.0303,0.108,0.0,0.0909,0.581,100.021,"rock, metal"
JoJo,Leave (Get Out) - Radio Edit,242746,2005,49,0.656,0.513,-8.691,0.253,0.156,6.45e-05,0.0763,0.464,86.891,"hip hop, pop, R&B"
Christina Milian,Dip It Low,197186,2004,45,0.752,0.722,-4.207,0.104,0.0108,0.000536,0.0753,0.612,169.131,"hip hop, pop, R&B"
Avant,Read Your Mind,263506,2003,56,0.755,0.381,-6.696,0.0711,0.291,5.13e-06,0.0974,0.695,73.108,"pop, R&B"
Sugababes,Too Lost In You,237693,2003,58,0.586,0.705,-4.904,0.0287,0.0485,0.0,0.15,0.459,98.014,"pop, R&B"
Sean Paul,I'm Still in Love with You (feat. Sasha),273360,2002,68,0.765,0.666,-5.384,0.172,0.102,0.0,0.116,0.756,87.002,"hip hop, pop"
The Shapeshifters,Lola's Theme - Radio Edit,207066,2004,65,0.748,0.845,-4.612,0.0536,0.00083,0.000225,0.068,0.659,123.925,Dance/Electronic
Basement Jaxx,Good Luck,282306,2003,0,0.571,0.968,-3.092,0.162,0.0649,3.07e-06,0.592,0.313,154.07,"pop, Dance/Electronic"
Kevin Lyttle,Turn Me On,192106,2004,67,0.677,0.682,-6.879,0.0361,0.0405,0.0,0.0351,0.875,106.279,hip hop
Chingy,One Call Away,276800,2003,61,0.765,0.821,-5.926,0.183,0.0918,0.0,0.217,0.962,162.519,"hip hop, pop, R&B"
DJ Casper,Cha Cha Slide - Hardino Mix,222146,2004,51,0.853,0.911,-6.722,0.125,0.0436,0.00571,0.287,0.802,131.012,set()
Kylie Minogue,I Believe in You,200973,2004,47,0.548,0.785,-5.087,0.0704,0.00277,0.048,0.329,0.418,120.939,"pop, Dance/Electronic"
N.E.R.D,She Wants To Move,213786,2004,57,0.766,0.851,-4.831,0.0786,0.00402,0.000744,0.256,0.8,115.012,hip hop
Britney Spears,Everytime,230306,2003,63,0.398,0.284,-12.852,0.0337,0.966,8.57e-05,0.116,0.114,109.599,pop
U2,Vertigo,193520,2004,64,0.416,0.819,-3.974,0.0613,0.000138,0.00108,0.147,0.632,140.083,"World/Traditional, rock"
Franz Ferdinand,Take Me Out,237026,2004,77,0.277,0.663,-8.821,0.0377,0.000409,0.00051,0.136,0.527,104.561,rock
Evanescence,My Immortal,262533,2003,72,0.19,0.265,-9.206,0.0356,0.863,0.0,0.134,0.101,79.012,metal
Lemar,If There's Any Justice,229080,2004,46,0.706,0.665,-5.348,0.0453,0.0128,0.0,0.338,0.639,89.993,R&B
No Doubt,It's My Life,226053,2003,60,0.612,0.735,-5.074,0.0282,0.00202,0.00118,0.328,0.783,126.326,"rock, pop"
Avril Lavigne,Don't Tell Me,202013,2004,58,0.523,0.795,-2.92,0.0386,0.00462,0.0,0.358,0.484,144.106,pop
Kelis,Millionaire,224933,2003,57,0.68,0.847,-6.636,0.108,0.0217,0.0,0.0374,0.75,176.051,"pop, R&B, Dance/Electronic"
Scissor Sisters,Comfortably Numb,266040,2004,43,0.803,0.924,-6.466,0.0391,0.237,0.0167,0.104,0.788,116.972,"pop, rock, Dance/Electronic"
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),284160,2003,55,0.663,0.465,-9.711,0.0317,0.555,0.00183,0.125,0.279,127.932,"pop, R&B"
Special D.,Come With Me - Radio Edit,185133,2004,61,0.739,0.999,-5.077,0.0803,0.13,0.00224,0.28,0.501,139.982,pop
Dido,White Flag,240040,2003,44,0.512,0.525,-6.823,0.0401,0.327,3.3e-06,0.081,0.294,169.951,pop
Beyoncé,"Me, Myself and I",301133,2003,62,0.75,0.458,-9.092,0.0803,0.226,3.25e-05,0.137,0.536,83.61,"pop, R&B"
3 Doors Down,Here Without You,238733,2002,74,0.557,0.533,-6.817,0.0252,0.0492,0.0,0.205,0.233,143.994,"pop, rock, metal"
Katie Melua,The Closest Thing to Crazy,252466,2003,55,0.562,0.219,-13.2,0.0312,0.856,0.000296,0.0979,0.106,127.831,"pop, easy listening, jazz"
Usher,My Boo,223440,2004,76,0.662,0.507,-8.238,0.118,0.257,0.0,0.0465,0.676,86.412,"hip hop, pop, R&B"
Lloyd,Southside,277840,2004,59,0.688,0.404,-9.481,0.0818,0.377,0.0,0.0813,0.448,75.007,"hip hop, pop, R&B"
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,2004,59,0.668,0.905,-5.395,0.038,0.00232,0.0331,0.141,0.667,128.658,Dance/Electronic
Girls Aloud,Love Machine,205360,2004,59,0.663,0.95,-4.21,0.0621,0.00127,0.00492,0.0753,0.697,116.02,"pop, Dance/Electronic"
Jessica Simpson,With You,191826,2003,57,0.553,0.756,-4.583,0.108,0.0923,0.0,0.215,0.605,94.487,"pop, R&B"
Gary Jules,Mad World (Feat. Michael Andrews),189506,2001,65,0.345,0.0581,-17.217,0.0374,0.976,0.000366,0.103,0.304,174.117,pop
Ashlee Simpson,Pieces Of Me,217440,2004,56,0.505,0.799,-4.286,0.0773,0.0572,0.0,0.11,0.772,174.001,pop
Will Young,Leave Right Now,214733,2003,55,0.641,0.445,-8.674,0.0368,0.145,0.0,0.108,0.383,81.931,pop
Alicia Keys,You Don't Know My Name,366733,2003,61,0.264,0.663,-8.264,0.187,0.59,0.00443,0.342,0.249,167.078,"pop, R&B"
Mariah Carey,We Belong Together,201400,2005,69,0.84,0.476,-7.918,0.0629,0.0264,0.0,0.0865,0.767,139.987,"pop, R&B"
